,name,address,g_rating,lat,long
158,Pizza Cotta Bene,"1814, 291 3rd Ave, Brooklyn, NY 11215, United States",4.4,40.676913,-73.8884726
159,Pizza D'Oro,"3115 Victory Blvd #1, Staten Island, NY 10314, USA",4.4,40.6073113,-73.8884726
160,Pizza Moto,"338 Hamilton Ave, Brooklyn, NY 11231, USA",4.7,40.6746224,-73.8884726
161,Pizza Town,"85 5th Ave, Brooklyn, NY 11217, USA",4.4,40.6800276,-73.8884726
162,Pizza Wagon,"8610 5th Ave, Brooklyn, NY 11209, USA",4.4,40.62131629999999,-73.8884726
163,pizzArte,"69 W 55th St, New York, NY 10019, USA",4.4,40.7629224,-73.8884726
164,Pizzeria Giove,"278 New Dorp Ln, Staten Island, NY 10306, USA",4.5,40.57212930000001,-73.8884726
165,Pizzeria Sirenetta,"568 Amsterdam Ave, New York, NY 10024, USA",4.6,40.7888061,-73.8884726
166,PN Wood Fired Pizza,"2 W 28th St, New York, NY 10001, USA",4.2,40.744797,-73.8884726
167,Polito's Pizza,"38-12 Broadway, Astoria, NY 11103, USA",4.3,40.75905259999999,-73.8884726
168,Posto Thin Crust Pizza,"310 2nd Ave, New York, NY 10003, USA",4.4,40.7348632,-73.8884726
169,PQR,"1631 2nd Ave, New York, NY 10028, USA",4.4,40.7771339,-73.8884726
170,Pranzo Pizza & Pasta,"34 Water St, New York, NY 10004, USA",4.1,40.7033278,-73.8884726
171,Prince Street Pizza,"27 Prince St A, New York, NY 10012, USA",4.6,40.723084,-73.8884726
172,Prova Pizzabar,"Grand Central Terminal, 89 East 42nd Street, Lower, New York, NY 10017, United States",3.5,40.7527206,-73.8884726
173,Pugsley Pizza,"590 E 191st St, The Bronx, NY 10458, USA",4.6,40.8587496,-73.8884726
174,Razza,"275 Grove St, Jersey City, NJ 07302, USA",4.5,40.717761,-73.8884726
175,Ribalta,"48 E 12th St, New York, NY 10003, USA",4.5,40.7332675,-73.8884726
176,Rizzo's Fine Pizza,"30-13 Steinway St, Astoria, NY 11103, USA",4.2,40.7633802,-73.8884726
177,Roberta's,"261 Moore St, Brooklyn, NY 11206, USA",4.5,40.7050766,-73.8884726
178,Rocco Pizza III,"2412, 330 Halsey St, Brooklyn, NY 11216, United States",4.0,40.68271199999999,-73.8884726
179,Rocky's Pizzeria,"607 2nd Ave, New York, NY 10016, USA",4.3,40.744398,-73.8884726
180,Rosalia's,"103-15 Queens Blvd, Forest Hills, NY 11375, USA",3.6,40.7247433,-73.8884726
181,Rosario's Pizza,"173 Orchard St, New York, NY 10002, USA",4.3,40.72157680000001,-73.8884726
182,Rubirosa,"235 Mulberry St, New York, NY 10012, USA",4.6,40.722753,-73.8884726
183,Sabrina's,"294 Broadway, Brooklyn, NY 11211, USA",4.2,40.7084098,-73.8884726
184,Sac's Place,"2541 Broadway, Queens, NY 11106, USA",4.5,40.7629651,-73.8884726
185,Sal and Carmine Pizzeria,"2671 Broadway, New York, NY 10025, USA",4.4,40.7983829,-73.8884726
186,Sal's Pizzería,"544 Lorimer St, Brooklyn, NY 11211, USA",4.5,40.7132095,-73.8884726
187,Sal's Pizza Store,"305 Court St, Brooklyn, NY 11231, USA",4.4,40.6836079,-73.8884726
188,Sams Famous Pizzeria,"150 E 116th St, New York, NY 10029, USA",4.2,40.7983091,-73.8884726
189,San Marco Pizzería,"577 Lorimer St, Brooklyn, NY 11211, USA",4.9,40.7142552,-73.8884726
190,San Matteo Pizzeria e Cucina,"1559 2nd Ave, New York, NY 10028, USA",4.5,40.774666,-73.8884726
191,San Remo,"1408 Cortelyou Rd, Brooklyn, NY 11226, USA",4.2,40.6407535,-73.8884726
192,Santa Panza,"1079 Broadway, Brooklyn, NY 11221, USA",4.8,40.6946563,-73.8884726
193,Saraghina,"435 Halsey St, Brooklyn, NY 11233, USA",4.5,40.683633,-73.8884726
194,Sauce Pizzeria,"345 E 12th St, New York, NY 10003, USA",4.5,40.7304367,-73.8884726
195,Scarr's Pizza,"22 Orchard St, New York, NY 10002, USA",4.6,40.715337,-73.8884726
196,Screamer's Pizzeria,"620 Manhattan Ave, Brooklyn, NY 11222, USA",4.6,40.7235897,-73.8884726
197,Seppe Pizza Bar,"3 Navy Pier Ct, Staten Island, NY 10304, USA",4.7,40.62906829999999,-73.8884726
198,Sofia Pizza Shoppe,"989 1st Avenue, New York, NY 10022, USA",4.6,40.756676,-73.8884726
199,Sorrento's Pizzeria Restaurant,"2004 Williamsbridge Rd, The Bronx, NY 10461, USA",4.5,40.8544679,-73.8884726
200,Sottocasa,"298 Atlantic Ave, Brooklyn, NY 11201, USA",4.5,40.6883065,-73.8884726
